Location,81_Order,56_Order,jumps_from,jumps_to
Nimba,1,1,1.412779298,8.89657573
RiverCess,2,2,0.028862487,1.135761516
RiverGee,3,3,0.046002869,1.288625658
Sinoe,4,4,0.183035007,1.644713424
Bomi,5,5,0.299462426,1.999510807
Bong,6,6,0.465406227,5.952608868
Gbarpolu,7,7,0.072469553,1.430879216
GrandCapeMount,8,8,0.297930863,2.1536514
GrandBassa,9,9,1.2825501,3.722734503
GrandGedeh,10,10,0.009994292,2.057706223
GrandKru,11,11,0.028192917,0.982976952
Lofa,12,12,1.525078007,5.020080311
Margibi,13,13,5.006770779,5.906978215
Maryland,14,14,0.012069389,2.141643381
Montserrado,15,15,72.69105848,16.86063117
Boffa,16,16,0.012121393,3.286229131
Boke,17,17,2.242411405,8.530938884
Fria,18,18,0.196172355,1.85239229
Gaoual,19,,,2.855811302
Koundara,20,,,1.729766227
Conakry,21,19,63.37958984,26.80110966
Dabola,22,20,0.006397421,2.5826759
Dinguiraye,23,21,0.008148436,2.98270834
Faranah,24,22,0.958459677,3.146458552
Kissidougou,25,23,1.53642302,4.7826492
Kankan,26,24,1.018217316,6.723104907
Kerouane,27,25,1.34938341,4.488245504
Kouroussa,28,26,0.107586974,3.326695082
Mandiana,29,,,4.36146275
Siguiri,30,27,0.872233694,7.792967973
Coyah,31,28,1.783186215,1.71354257
Dubreka,32,29,2.286423505,4.7508737
Forecariah,33,30,11.38868743,6.847021102
Kindia,34,31,0.537449917,8.587944911
Telimele,35,32,0.026702383,4.477880677
Koubia,36,,,1.774054589
Labe,37,,,5.544520288
Lelouma,38,,,2.363424525
Mali,39,33,0.016248136,3.533678017
Tougue,40,34,0.004681991,2.507661149
Dalaba,41,35,0.209498471,2.977555393
Mamou,42,,,6.67882133
Pita,43,36,0.027368759,4.574723066
Beyla,44,37,0.522202959,3.723039128
Gueckedou,45,38,20.81270845,13.21504227
Lola,46,39,0.155689981,3.639755015
Macenta,47,40,12.81754873,8.917818263
Nzerekore,48,41,1.23980136,6.676597546
Yamou,49,42,0.042699381,5.290650882
Kailahun,50,43,12.15795365,7.225694191
Kenema,51,44,18.14082175,10.13190339
Kono,52,45,5.608288605,5.673993246
Bombali,53,46,32.63557485,7.524383666
Kambia,54,47,10.82280068,5.18797668
Koinadugu,55,48,2.188421807,5.248008523
PortLoko,56,49,44.9240566,9.063888103
Tonkolili,57,50,3.432527971,6.91620316
Bo,58,51,3.154038444,10.28384033
Bonthe,59,52,0.020029618,2.443473348
Moyamba,60,53,2.20609061,4.558195444
Pujehun,61,54,1.0472077,4.859175864
WesternRural,62,55,28.80650553,7.434358269
WesternUrban,63,56,60.02560232,8.497570356
Kedougou,64,,,1.07076038
Salemata,65,,,0.27184954
Saraya,66,,,0.836343354
Velingara,67,,,4.40042144
Tambacounda,68,,,4.502170726
Kenieba,69,,,3.30313474
Kita,70,,,8.274465963
Kangaba,71,,,1.643569118
Kati,72,,,21.67554829
Yanfolila,73,,,3.703665335
Gabu,74,,,3.755932089
Tombali,75,,,1.629846707
SanPedro,76,,,3.109880126
Folon,77,,,1.381958118
Kabadougou,78,,,3.61230771
Cavally,79,,,7.679960519
Tonkpi,80,,,18.79359392
Bafing,81,,,3.162655322