country,district,standard,2013-Dec-30,2014-Jan-06,2014-Jan-13,2014-Jan-20,2014-Jan-27,2014-Feb-03,2014-Feb-10,2014-Feb-17,2014-Feb-24,2014-Mar-03,2014-Mar-10,2014-Mar-17,2014-Mar-24,2014-Mar-31,2014-Apr-07,2014-Apr-14,2014-Apr-21,2014-Apr-28,2014-May-05,2014-May-12,2014-May-19,2014-May-26,2014-Jun-02,2014-Jun-09,2014-Jun-16,2014-Jun-23,2014-Jun-30,2014-Jul-07,2014-Jul-14,2014-Jul-21,2014-Jul-28,2014-Aug-04,2014-Aug-11,2014-Aug-18,2014-Aug-25,2014-Sep-01,2014-Sep-08,2014-Sep-15,2014-Sep-22,2014-Sep-29,2014-Oct-06,2014-Oct-13,2014-Oct-20,2014-Oct-27,2014-Nov-03,2014-Nov-10,2014-Nov-17,2014-Nov-24,2014-Dec-01,2014-Dec-08,2014-Dec-15,2014-Dec-22,2014-Dec-29,2015-Jan-05,2015-Jan-12,2015-Jan-19,2015-Jan-26,2015-Feb-02,2015-Feb-09,2015-Feb-16,2015-Feb-23,2015-Mar-02,2015-Mar-09,2015-Mar-16,2015-Mar-23,2015-Mar-30,2015-Apr-06,2015-Apr-13,2015-Apr-20,2015-Apr-27,2015-May-04,2015-May-11,2015-May-18,2015-May-25,2015-Jun-01,2015-Jun-08,2015-Jun-15,2015-Jun-22,2015-Jun-29,2015-Jul-06,2015-Jul-13,2015-Jul-20,2015-Jul-27,2015-Aug-03,2015-Aug-10,2015-Aug-17,2015-Aug-24,2015-Aug-31,2015-Sep-07,2015-Sep-14,2015-Sep-21,2015-Sep-28,2015-Oct-05,2015-Oct-12,2015-Oct-19,2015-Oct-26,2015-Nov-02,2015-Nov-09,2015-Nov-16
GIN,SIGUIRI,Siguiri,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1,0,1,2,1,4,3,4,2,4,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,TELIMELE,Telimele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,TOUGUE,Tougue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,YOMOU,Yamou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,BO,Bo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,5,8,12,7,13,36,9,16,3,28,20,18,30,18,17,24,33,22,23,23,32,4,17,9,7,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,BOMBALI,Bombali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,2,1,11,25,31,45,86,79,87,94,72,72,90,69,52,64,69,57,23,33,22,11,15,8,7,6,3,3,22,22,14,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SLE,BONTHE,Bonthe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,KAILAHUN,Kailahun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,32,68,38,35,54,84,38,38,80,51,28,20,27,25,12,23,8,4,5,30,9,7,5,4,3,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,KAMBIA,Kambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,8,7,4,5,4,16,8,5,10,14,14,11,8,12,11,23,8,13,7,11,14,10,6,10,4,8,5,3,7,6,8,5,0,1,0,1,5,7,2,3,4,3,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0
SLE,KENEMA,Kenema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,17,33,23,31,46,42,45,52,46,24,29,25,8,10,7,22,26,13,13,1,0,2,1,0,4,2,0,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,KOINADUGU,Koinadugu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,8,25,35,38,25,5,9,2,5,1,9,5,1,0,0,1,0,2,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,KONO,Kono,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,3,9,8,3,6,20,16,12,6,5,12,29,28,37,29,50,23,102,64,39,17,11,11,10,0,7,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,MOYAMBA,Moyamba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6,6,5,3,1,13,3,66,16,13,9,10,9,6,50,16,10,3,13,5,5,5,14,4,5,2,3,2,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,PORT LOKO,PortLoko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,2,0,1,7,16,20,38,35,43,57,75,110,53,106,108,136,157,153,122,124,101,76,98,92,80,56,47,43,17,40,41,13,21,18,13,15,12,6,1,2,1,0,1,0,3,1,9,10,8,4,2,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,PUJEHUN,Pujehun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,7,0,7,0,6,13,11,1,4,4,3,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,TONKOLILI,Tonkolili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,7,9,9,34,31,80,41,53,38,31,64,33,31,40,13,16,25,22,5,14,3,6,1,3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,WESTERN AREA RURAL,WesternRural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,4,8,22,15,21,31,59,64,61,65,116,113,121,93,102,95,126,88,54,40,48,77,54,17,23,13,15,18,5,11,17,6,10,15,8,4,4,3,3,3,0,11,2,3,7,38,13,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,WESTERN AREA URBAN,WesternUrban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,6,0,4,12,17,29,33,37,67,53,76,88,98,121,150,127,168,153,244,169,164,202,216,145,129,68,56,34,30,69,34,36,56,29,14,19,22,16,10,5,8,5,19,21,12,7,10,35,50,11,10,6,3,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,BOMI,Bomi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,17,21,9,16,8,12,22,7,20,8,4,6,6,3,3,13,2,3,10,7,1,0,0,1,1,4,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,BONG,Bong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,0,2,11,14,8,15,13,20,18,16,16,5,4,7,5,23,17,0,3,2,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,GBARPOLU,Gbarpolu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,4,2,4,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,GRAND BASSA,GrandBassa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,6,7,8,12,6,12,19,7,4,6,2,2,4,9,3,3,9,24,9,1,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,GRAND CAPE MOUNT,GrandCapeMount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,3,9,5,9,4,12,6,3,19,6,41,9,22,10,9,11,5,8,2,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,GRAND GEDEH,GrandGedeh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,GRAND KRU,GrandKru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,8,3,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,LOFA,Lofa,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,1,0,0,0,2,12,22,14,15,9,6,33,33,48,76,75,44,25,14,27,16,11,12,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,MARGIBI,Margibi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,4,13,41,29,99,57,86,86,103,91,71,33,37,22,25,14,6,11,10,4,1,0,1,1,0,2,0,2,0,2,8,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,MARYLAND,Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,MONTSERRADO,Montserrado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,5,11,8,18,18,25,29,89,116,169,204,252,290,259,248,150,191,131,77,82,52,51,69,86,69,42,24,35,39,20,17,11,8,7,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LBR,NIMBA,Nimba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,2,0,5,9,32,15,21,19,26,58,21,15,15,13,4,7,4,1,3,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,RIVER GEE,RiverGee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,RIVERCESS,RiverCess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,1,0,1,0,0,1,0,0,1,0,0,1,1,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,SINOE,Sinoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,6,3,0,5,0,1,0,0,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,MANDIANA,Mandiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
